2026-06-02 14:35:59.227 [main] INFO  c.s.q.QiSiSystemApplication - Starting QiSiSystemApplication using Java 17.0.12 with PID 164140 (C:\Users\Lenovo\Desktop\development\my-code\QiSiSystem\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\development\my-code\QiSiSystem)
2026-06-02 14:35:59.234 [main] INFO  c.s.q.QiSiSystemApplication - The following 1 profile is active: "test"
2026-06-02 14:36:00.581 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-02 14:36:00.583 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-02 14:36:00.659 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 62 ms. Found 0 Redis repository interfaces.
2026-06-02 14:36:01.288 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-02 14:36:01.380 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2088 ms
2026-06-02 14:36:02.781 [main] INFO  c.s.q.QiSiSystemApplication - ✅ 管理员账号已初始化
2026-06-02 14:36:02.795 [main] INFO  c.s.q.config.minio.MinioConfig - 开始初始化MinIO客户端
2026-06-02 14:36:02.937 [main] INFO  c.s.q.config.minio.MinioConfig - MinIO客户端初始化完成
2026-06-02 14:36:03.792 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
2026-06-02 14:36:04.092 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoints beneath base path '/actuator'
2026-06-02 14:36:04.326 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@44c79f32
2026-06-02 14:36:04.611 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Deferred [Mvc [pattern='/ws/**'], Ant [pattern='/ws/**']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2026-06-02 14:36:04.756 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-06-02 14:36:04.756 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@1b4bc7b9]]
2026-06-02 14:36:04.757 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-06-02 14:36:04.772 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-06-02 14:36:04.787 [main] INFO  c.s.q.QiSiSystemApplication - Started QiSiSystemApplication in 6.035 seconds (process running for 6.922)
2026-06-02 14:36:04.795 [main] INFO  c.s.q.c.startup.MinioStartupRunner - 开始健康检查
2026-06-02 14:36:04.972 [main] INFO  c.s.q.c.startup.MinioStartupRunner - Minio连接成功
2026-06-02 14:36:05.649 [main] INFO  c.s.q.c.startup.RedisStartupRunner - Redis数据库连接成功
2026-06-02 14:36:06.081 [RMI TCP Connection(2)-192.168.5.191] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-02 14:36:06.083 [RMI TCP Connection(2)-192.168.5.191] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-06-02 14:36:06.940 [http-nio-8080-exec-1] WARN  c.s.q.c.s.f.JwtAuthenticationFilter - [JWT 验证异常]IP= 192.168.5.206, URI= /api/user/refresh-accessToken, METHOD= POST, 异常: Token 格式错误
2026-06-02 14:36:28.029 [http-nio-8080-exec-5] WARN  c.s.q.c.s.f.JwtAuthenticationFilter - [JWT 验证异常]IP= 192.168.5.206, URI= /api/demand/apply/query/my-list, METHOD= POST, 异常: 用户不存在
2026-06-02 14:36:28.863 [http-nio-8080-exec-3] WARN  c.s.q.c.s.f.JwtAuthenticationFilter - [JWT 验证异常]IP= 192.168.5.206, URI= /api/demand/apply/query/apply-demand-list, METHOD= POST, 异常: 用户不存在
2026-06-02 14:36:37.339 [http-nio-8080-exec-2] WARN  c.s.q.c.s.f.JwtAuthenticationFilter - [JWT 验证异常]IP= 192.168.5.206, URI= /api/user/logout, METHOD= POST, 异常: 用户不存在
2026-06-02 14:36:41.731 [http-nio-8080-exec-9] WARN  c.s.q.c.s.f.JwtAuthenticationFilter - [JWT 验证异常]IP= 192.168.5.206, URI= /api/user/info/user-identity-list, METHOD= GET, 异常: 用户不存在
2026-06-02 14:36:42.374 [http-nio-8080-exec-4] WARN  c.s.q.c.s.f.JwtAuthenticationFilter - [JWT 验证异常]IP= 192.168.5.206, URI= /api/demand/apply/query/apply-demand-list, METHOD= POST, 异常: 用户不存在
2026-06-02 14:36:56.394 [http-nio-8080-exec-2] WARN  c.s.q.c.s.f.JwtAuthenticationFilter - [JWT 验证异常]IP= 192.168.5.206, URI= /api/user/info/user-identity-list, METHOD= GET, 异常: 用户不存在
2026-06-02 14:36:56.887 [http-nio-8080-exec-9] WARN  c.s.q.c.s.f.JwtAuthenticationFilter - [JWT 验证异常]IP= 192.168.5.206, URI= /api/demand/apply/query/apply-demand-list, METHOD= POST, 异常: 用户不存在
2026-06-02 14:37:04.735 [MessageBroker-1] INFO  o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[1 current WS(1)-HttpStream(0)-HttpPoll(0), 3 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(3)-CONNECTED(3)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 33, active threads = 0, queued tasks = 0, completed tasks = 33], outboundChannel[pool size = 5, active threads = 0, queued tasks = 0, completed tasks = 5], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2026-06-02 14:38:49.047 [http-nio-8080-exec-2] WARN  c.s.q.c.e.GlobalExceptionHandler - [业务异常] IP= 192.168.5.206, URI= /api/user/login, METHOD= POST, code=USER_NOT_FOUND, message=用户不存在
2026-06-02 15:06:34.701 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-02 15:06:35.074 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-02 15:06:35.086 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
2026-06-02 15:06:35.086 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@1b4bc7b9]]
2026-06-02 15:06:35.087 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
2026-06-02 15:06:41.301 [main] INFO  c.s.q.QiSiSystemApplication - Starting QiSiSystemApplication using Java 17.0.12 with PID 174636 (C:\Users\Lenovo\Desktop\development\my-code\QiSiSystem\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\development\my-code\QiSiSystem)
2026-06-02 15:06:41.303 [main] INFO  c.s.q.QiSiSystemApplication - The following 1 profile is active: "test"
2026-06-02 15:06:42.798 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-02 15:06:42.800 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-02 15:06:42.880 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 67 ms. Found 0 Redis repository interfaces.
2026-06-02 15:06:43.474 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-02 15:06:43.575 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2232 ms
2026-06-02 15:06:44.764 [main] INFO  c.s.q.QiSiSystemApplication - ✅ 管理员账号已初始化
2026-06-02 15:06:44.776 [main] INFO  c.s.q.config.minio.MinioConfig - 开始初始化MinIO客户端
2026-06-02 15:06:44.907 [main] INFO  c.s.q.config.minio.MinioConfig - MinIO客户端初始化完成
2026-06-02 15:06:45.733 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
2026-06-02 15:06:46.047 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoints beneath base path '/actuator'
